pos=8028eff0 len=352 sym=__VISetGammaImm
pos=8028f160 len=24 sym=__VISetGamma
pos=8028f180 len=92 sym=__VISetTrapFilter
pos=8028f1e0 len=132 sym=__VISetRGBOverDrive
pos=8028f280 len=72 sym=__VISetRGBModeImm
pos=8028f2d0 len=1196 sym=__VISetRevolutionModeSimple
pos=8028f780 len=92 sym=__PADDisableRecalibration
pos=8028f830 len=124 sym=AIInitDMA
pos=8028f8b0 len=20 sym=AIStartDMA
pos=8028f8d0 len=16 sym=AIGetDMABytesLeft
pos=8028f8e0 len=24 sym=AIGetDMAStartAddr
pos=8028f900 len=16 sym=AIGetDMALength
pos=8028f920 len=384 sym=AIInit
pos=8028faa0 len=168 sym=__AIDHandler
pos=8028fb50 len=100 sym=__AICallbackStackSwitch
pos=8028fe20 len=172 sym=__AXServiceCallbackStack
pos=8028ff80 len=28 sym=__AXPushFreeStack
pos=8028ffb0 len=132 sym=__AXRemoveFromStack
pos=80290040 len=124 sym=AXFreeVoice
pos=802900c0 len=388 sym=AXAcquireVoice
pos=802905d0 len=52 sym=__AXGetAuxCInput
pos=80290630 len=940 sym=__AXProcessAux
pos=80290ba0 len=48 sym=__AXGetCommandListAddress
pos=80290bd0 len=2492 sym=__AXNextFrame
pos=80291590 len=80 sym=__AXClInit
pos=80291630 len=24 sym=AXSetMasterVolume
pos=802918e0 len=176 sym=__AXOutAiCallback
pos=802919a0 len=84 sym=__AXDSPResumeCallback
pos=80291a20 len=236 sym=__AXOutInitDSP
pos=80291b10 len=504 sym=__AXOutInit
pos=80291d60 len=44 sym=AXRmtGetSamplesLeft
pos=80291d90 len=196 sym=AXRmtGetSamples
pos=80291e60 len=88 sym=AXRmtAdvancePtr
pos=80291ed0 len=108 sym=__AXDepopFadeMain
pos=80291f40 len=108 sym=__AXDepopFadeRmt
pos=80291fb0 len=376 sym=__AXPrintStudio
pos=80292300 len=1360 sym=__AXServiceVPB
pos=80292850 len=784 sym=__AXSyncPBs
pos=80292b70 len=64 sym=__AXSetPBDefault
pos=80292bb0 len=48 sym=__AXVPBInit
pos=80292be0 len=652 sym=__AXVPBInitCommon
pos=80292e70 len=112 sym=AXSetVoiceState
pos=80292ee0 len=232 sym=AXSetVoiceAddr
pos=80292fd0 len=188 sym=AXGetLpfCoefs
pos=80293190 len=412 sym=AXFXReverbHiExpInit
pos=80293330 len=84 sym=AXFXReverbHiExpShutdown
pos=80293390 len=1316 sym=AXFXReverbHiExpCallback
pos=802938c0 len=372 sym=__AllocDelayLine
pos=80293a40 len=292 sym=__BzeroDelayLines
pos=80293b70 len=276 sym=__FreeDelayLine
pos=802940d0 len=276 sym=MIXInit
pos=80294250 len=136 sym=SYNInit
pos=802942e0 len=32 sym=SEQInit
pos=80294300 len=16 sym=DSPCheckMailToDSP
pos=80294310 len=16 sym=DSPCheckMailFromDSP
pos=80294320 len=20 sym=DSPReadMailFromDSP
pos=80294340 len=20 sym=DSPSendMailToDSP
pos=80294360 len=192 sym=DSPInit
pos=80294430 len=112 sym=DSPAddTask
pos=802949e0 len=420 sym=__DSP_exec_task
pos=80294b90 len=396 sym=__DSP_boot_task
pos=80294d20 len=160 sym=__DSP_insert_task
pos=80294f40 len=36 sym=__GXDefaultTlutRegionCallback
pos=80294f70 len=368 sym=__GXShutdown
pos=802950e0 len=304 sym=__GXInitRevisionBits
pos=80295210 len=1284 sym=GXInit
pos=80296140 len=140 sym=GXInitFifoBase
pos=802961d0 len=248 sym=CPGPLinkCheck
pos=802962d0 len=480 sym=GXSetCPUFifo
pos=802964b0 len=656 sym=GXSetGPFifo
pos=80296740 len=256 sym=__GXSaveFifo
pos=80296950 len=124 sym=__GXFifoInit
pos=802969d0 len=416 sym=__GXCleanGPFifo
pos=80296de0 len=176 sym=__GXSetVCD
pos=80296e90 len=300 sym=__GXCalculateVLim
pos=80296fc0 len=436 sym=GXGetVtxDesc
pos=80297180 len=52 sym=GXClearVtxDesc
pos=802971c0 len=416 sym=GXSetVtxAttrFmt
pos=80297360 len=456 sym=GXSetVtxAttrFmtv
pos=80297530 len=128 sym=__GXSetVAT
pos=802975b0 len=604 sym=GXGetVtxAttrFmt
pos=80297810 len=64 sym=GXSetArray
pos=80297850 len=16 sym=GXInvalidateVtxCache
pos=80297860 len=580 sym=GXSetTexCoordGen2
pos=80297b60 len=92 sym=GXFlush
pos=80297bc0 len=52 sym=GXResetWriteGatherPipe
pos=80297c00 len=356 sym=__GXAbort
pos=80297d70 len=436 sym=GXAbortFrame
pos=80297f30 len=204 sym=GXDrawDone
pos=80298000 len=36 sym=GXPixModeSync
pos=80298030 len=16 sym=GXPokeAlphaMode
pos=80298040 len=24 sym=GXPokeAlphaRead
pos=80298060 len=20 sym=GXPokeAlphaUpdate
pos=80298080 len=92 sym=GXPokeBlendMode
pos=802980e0 len=20 sym=GXPokeColorUpdate
pos=80298100 len=24 sym=GXPokeDstAlpha
pos=80298120 len=20 sym=GXPokeDither
pos=80298140 len=28 sym=GXPokeZMode
pos=802981b0 len=132 sym=GXTokenInterruptHandler
pos=80298290 len=128 sym=GXFinishInterruptHandler
pos=80298310 len=100 sym=__GXPEInit
pos=80298600 len=332 sym=GXBegin
pos=80298750 len=216 sym=__GXSendFlushPrim
